"","M0","M0.96","M2.04","M3","M6","M9","M12","M24","M36","M48","M60","M72","M84","M96","M108","M120","M180","M240","M360","M480","M600"
"2006-03-01",1.4,NA,NA,NA,1.5891,NA,1.68,1.85,2.0052,NA,2.364,NA,2.65,NA,NA,2.9,3.2842,3.46,3.5,NA,NA
"2006-03-02",1.41,NA,NA,NA,1.52,NA,1.69,1.86,2.02,NA,2.44,NA,2.66,NA,NA,2.9,3.26,3.45,3.51,NA,NA
"2006-03-03",1.4,NA,NA,NA,1.51,NA,1.68,1.84,2,NA,2.42,NA,2.64,NA,NA,2.87,3.23,3.43,3.5,NA,NA
"2006-03-06",1.44,NA,NA,NA,1.56,NA,1.73,1.85,2.04,NA,2.46,NA,2.68,NA,NA,2.93,3.27,3.47,3.54,NA,NA
"2006-03-07",1.4,NA,NA,NA,1.53,NA,1.71,1.83,2.02,NA,2.43,NA,2.65,NA,NA,2.9,3.25,3.45,3.52,NA,NA
"2006-03-08",1.38,NA,NA,NA,1.52,NA,1.69,1.81,2.01,NA,2.4,NA,2.61,NA,NA,2.88,3.23,3.43,3.48,NA,NA
"2006-03-09",1.38,NA,NA,NA,1.53,NA,1.68,1.81,2.01,NA,2.39,NA,2.61,NA,NA,2.88,3.22,3.43,3.48,NA,NA
"2006-03-10",1.39,NA,NA,NA,1.53,NA,1.67,1.82,2.02,NA,2.4,NA,2.61,NA,NA,2.89,3.23,3.43,3.48,NA,NA
"2006-03-13",1.4,NA,NA,NA,1.54,NA,1.68,1.83,2.03,NA,2.41,NA,2.61,NA,NA,2.9,3.24,3.44,3.48,NA,NA
"2006-03-14",1.41,NA,NA,NA,1.55,NA,1.69,1.84,2.02,NA,2.4,NA,2.61,NA,NA,2.9,3.24,3.44,3.49,NA,NA
"2006-03-15",1.43,NA,NA,NA,1.57,NA,1.71,1.85,2.03,NA,2.4,NA,2.6,NA,NA,2.91,3.23,3.44,3.5,NA,NA
"2006-03-16",1.44,NA,NA,NA,1.58,NA,1.72,1.86,2.02,NA,2.39,NA,2.6,NA,NA,2.91,3.24,3.44,3.51,NA,NA
"2006-03-17",1.42,NA,NA,NA,1.56,NA,1.7,1.84,2.01,NA,2.37,NA,2.59,NA,NA,2.92,3.24,3.44,3.5,NA,NA
"2006-03-20",1.44,NA,NA,NA,1.58,NA,1.71,1.85,2.02,NA,2.38,NA,2.6,NA,NA,2.93,3.25,3.44,3.52,NA,NA
"2006-03-21",1.43,NA,NA,NA,1.57,NA,1.7,1.84,2.01,NA,2.37,NA,2.59,NA,NA,2.92,3.24,3.43,3.51,NA,NA
"2006-03-22",1.45,NA,NA,NA,1.58,NA,1.71,1.84,2.03,NA,2.385,NA,2.6,NA,NA,2.93,3.25,3.44,3.52,NA,NA
"2006-03-23",1.42,NA,NA,NA,1.6,NA,1.69,1.9,2.1,NA,2.49,NA,2.71,NA,NA,2.912,3.27,3.45,3.53,NA,NA
"2006-03-24",1.4,NA,NA,NA,1.58,NA,1.68,1.89,2.0898,NA,2.48,NA,2.723,NA,NA,2.9,3.26,3.44,3.52,NA,NA
"2006-03-27",1.39,NA,NA,NA,1.61,NA,1.7141,1.93,2.15,NA,2.5537,NA,2.66,NA,NA,2.92,3.2137,3.45,3.52,NA,NA
"2006-03-28",1.37,NA,NA,NA,1.6,NA,1.7003,1.93,2.1058,NA,2.5631,NA,2.65,NA,NA,2.92,3.2399,3.43,3.52,NA,NA
"2006-03-29",1.36,NA,NA,NA,1.62,NA,1.7029,1.93,2.19,NA,2.5605,NA,2.67,NA,NA,2.94,3.2392,3.45,3.5,NA,NA
"2006-03-30",1.37,NA,NA,NA,1.64,NA,1.72,1.92,2.1404,NA,2.4655,NA,2.67,NA,NA,2.94,3.238,3.43,3.5,NA,NA
"2006-03-31",1.36,NA,NA,NA,1.64,NA,1.71,1.91,2.1355,NA,2.5669,NA,2.68,NA,NA,2.94,3.228,3.45,3.5,NA,NA
"2006-04-03",1.35,NA,NA,NA,1.64,NA,1.72,1.91,1.9968,NA,2.4687,NA,2.6847,NA,NA,2.92,3.2,3.43,3.52,NA,NA
"2006-04-04",1.36,NA,NA,NA,1.6154,NA,1.7254,1.94,2.0001,NA,2.4804,NA,2.722,NA,NA,2.92,3.26,3.46,3.53,NA,NA
"2006-04-05",1.37,NA,NA,NA,1.6,NA,1.702,1.94,2.1657,NA,2.4963,NA,2.67,NA,NA,2.91,3.3141,3.48,3.51,NA,NA
"2006-04-06",1.365,NA,NA,NA,1.58,NA,1.6916,1.9345,2.1731,NA,2.4873,NA,2.67,NA,NA,2.94,3.2868,3.47,3.5,NA,NA
"2006-04-07",1.35,NA,NA,NA,1.55,NA,1.64,1.86,2.05,NA,2.48,NA,2.69,NA,NA,2.9291,3.26,3.4328,3.5,NA,NA
"2006-04-10",1.35,NA,NA,NA,1.55,NA,1.6551,1.88,2.1091,NA,2.5678,NA,2.69,NA,NA,2.93,3.2406,3.43,3.51,NA,NA
"2006-04-11",1.37,NA,NA,NA,1.57,NA,1.6661,1.89,2.1549,NA,2.5816,NA,2.7069,NA,NA,2.97,3.239,3.45,3.53,NA,NA
"2006-04-12",1.39,NA,NA,NA,1.59,NA,1.6892,1.91,2.1656,NA,2.5865,NA,2.713,NA,NA,2.98,3.26,3.45,3.5483,NA,NA
"2006-04-13",1.39,NA,NA,NA,1.57,NA,1.7,1.9,2.1577,NA,2.5866,NA,2.72,NA,NA,2.9405,3.2556,3.46,3.55,NA,NA
