"","M3","M6","M9","M12","M24","M36","M60","M84","M120","M180","M240","M360"
"04/01/2003",11.68,12.31,12.76,13.08,13.63,13.72,13.63,13.53,13.45,13.38,13.35,13.32
"05/01/2003",11.09,11.7,12.16,12.5,13.14,13.3,13.31,13.27,13.23,13.2,13.19,13.17
"08/01/2003",10.84,11.61,12.15,12.53,13.18,13.3,13.29,13.24,13.19,13.15,13.13,13.11
"09/01/2003",10.46,11.13,11.67,12.09,13.02,13.31,13.38,13.32,13.25,13.19,13.16,13.13
"10/01/2003",10.1,11.08,11.79,12.28,13.14,13.31,13.27,13.19,13.11,13.04,13,12.97
"13/01/2003",10.33,11.34,12.02,12.46,13.13,13.22,13.18,13.12,13.06,13.01,12.99,12.97
"14/01/2003",10.18,11.04,11.67,12.12,12.99,13.22,13.25,13.2,13.15,13.11,13.09,13.07
"15/01/2003",10.01,10.82,11.45,11.92,12.9,13.21,13.29,13.25,13.19,13.14,13.12,13.1
"16/01/2003",10.5,11.11,11.6,11.98,12.89,13.24,13.39,13.39,13.36,13.33,13.32,13.31
"17/01/2003",10,10.67,11.22,11.66,12.72,13.14,13.34,13.33,13.29,13.26,13.24,13.23
"20/01/2003",10.57,11.18,11.65,12.03,12.89,13.2,13.34,13.35,13.34,13.34,13.35,13.35
"21/01/2003",11.24,11.78,12.18,12.49,13.2,13.44,13.53,13.53,13.53,13.54,13.54,13.54
"22/01/2003",10.42,10.96,11.41,11.78,12.75,13.17,13.43,13.46,13.44,13.42,13.41,13.41
"23/01/2003",10.18,10.73,11.2,11.6,12.6,13.04,13.31,13.35,13.34,13.33,13.33,13.32
"24/01/2003",9.88,10.54,11.1,11.55,12.62,13.03,13.22,13.23,13.21,13.2,13.2,13.2
"27/01/2003",10.25,10.92,11.45,11.88,12.84,13.19,13.34,13.33,13.31,13.29,13.28,13.27
"28/01/2003",10.32,10.82,11.25,11.61,12.59,13.06,13.37,13.42,13.41,13.39,13.38,13.37
"29/01/2003",10.39,10.86,11.26,11.61,12.56,13.04,13.37,13.42,13.43,13.41,13.41,13.4
"30/01/2003",10.31,10.79,11.21,11.58,12.6,13.1,13.45,13.51,13.5,13.47,13.45,13.44
"31/01/2003",10.03,10.54,10.97,11.34,12.3,12.74,13.07,13.15,13.2,13.22,13.23,13.24
"03/02/2003",10.13,10.67,11.14,11.53,12.54,12.98,13.25,13.29,13.29,13.29,13.29,13.29
"04/02/2003",10.18,10.66,11.08,11.45,12.43,12.89,13.2,13.26,13.28,13.28,13.29,13.29
"05/02/2003",10.06,10.53,10.93,11.26,12.13,12.54,12.8,12.85,12.87,12.91,12.95,12.99
"06/02/2003",9.34,9.82,10.25,10.62,11.66,12.16,12.48,12.51,12.51,12.53,12.58,12.65
"07/02/2003",8.81,9.42,9.94,10.38,11.5,11.99,12.26,12.28,12.27,12.28,12.31,12.35
"10/02/2003",8.44,9.24,9.9,10.44,11.66,12.04,12.1,12.02,11.97,11.97,11.99,12.04
